variable,count,mean,std,min,25%,50%,75%,max,original
dummy1,1000.0,-0.0003396300454999056,0.01006909372212239,-0.0308628946719053,-0.0072537012526288245,-0.00064049373251835,0.006734493068488925,0.0296645277419216,-0.0037739781415666
dummy2,1000.0,0.0005259213635599502,0.010742478181666588,-0.0281969869433602,-0.007204634594588125,0.00032409702566475,0.007529466260787125,0.0378761970265841,-0.0002626207502913
x1,1000.0,0.0388971477766194,3.028729175645882,-8.217739344614055,-1.9467319140215325,-0.04033396683623725,2.0375640674914717,28.2052658197393,28.2052658197393
x2,1000.0,0.18837164935353218,8.034711934056652,-25.661504479725643,-5.1207175024710665,0.2541367769127221,5.356646712304492,75.0509122599651,75.0509122599651
x3,1000.0,-0.05597738882741385,1.9902998049798286,-5.67025836213821,-1.348859176567049,-0.07689946172153475,1.207536616551117,17.754634817495628,17.754634817495628
